amount_in,amount_out,gas
5500000000000000000,5466283181327378559,179739
5550000000000000000,5515969636315187924,179739
5600000000000000000,5565655963853685132,179739
5650000000000000000,5615342165778512130,179739
5700000000000000000,5665028240254753917,179739
5750000000000000000,5714714188506290615,179739
5800000000000000000,5764400009921726981,179739
5850000000000000000,5814085704501426482,179739
5900000000000000000,5863771272857507409,179739
5950000000000000000,5913456714378576848,179739
6000000000000000000,5963142029064998265,179739
6050000000000000000,6012827217528887609,179739
6100000000000000000,6062512279770606005,179739
6150000000000000000,6112197214567012719,179739
6200000000000000000,6161882022530223695,179739
6250000000000000000,6211566704272351764,179739
6300000000000000000,6261251259793758046,179739
6350000000000000000,6310935688483055842,179739
6400000000000000000,6360619990952355643,179739
6450000000000000000,6410304165978526044,179739
6500000000000000000,6459988214785423793,179739
6550000000000000000,6509672136761665298,179765
6600000000000000000,6559355932519357931,179765
6650000000000000000,6609039600835376507,179765
6700000000000000000,6658723143545313910,179765
6750000000000000000,6708406559426045731,179771
6800000000000000000,6758089847866194596,179771
6850000000000000000,6807773010701346381,179771
6900000000000000000,6857456046708381341,179771
6950000000000000000,6907138955887662912,179771
7000000000000000000,6956821738239554526,179771
7050000000000000000,7006504393764419616,179771
7100000000000000000,7056186923074357754,179771
7150000000000000000,7105869326169730036,179771
7200000000000000000,7155551602439162967,179771
7250000000000000000,7205233751883019972,179771
7300000000000000000,7254915774501664477,179771
7350000000000000000,7304597670907192155,179771
7400000000000000000,7354279441099964094,179771
7450000000000000000,7403961083856879986,179771
7500000000000000000,7453642600401765419,179771
7550000000000000000,7503323990123252337,179771
7600000000000000000,7553005253633432514,179771
7650000000000000000,7602686390320939448,179771
7700000000000000000,7652367400186136549,179781
7750000000000000000,7702048283841113255,179781
7800000000000000000,7751729040062780143,179781
7850000000000000000,7801409670686676365,179781
7900000000000000000,7851090173877989582,179781
7950000000000000000,7900770551472254274,179781
8000000000000000000,7950450801634662768,179781
8050000000000000000,8000130925589023515,179771
8100000000000000000,8049810922723976999,179771
8150000000000000000,8099490793039886620,179771
8200000000000000000,8149170537148834795,179771
8250000000000000000,8198850154439464342,179771
8300000000000000000,8248529645523856119,179771
8350000000000000000,8298209009790654496,179771
8400000000000000000,8347888247240222864,179771
8450000000000000000,8397567358484639742,179771
8500000000000000000,8447246342912551829,179771
8550000000000000000,8496925200524322513,179771
8600000000000000000,8546603931320315176,179771
8650000000000000000,8596282535912605220,179771
8700000000000000000,8645961013689842452,179771
8750000000000000000,8695639365264100712,179771
8800000000000000000,8745317590024031360,179771
8850000000000000000,8794995688581706679,179771
8900000000000000000,8844673659714071453,179771
8950000000000000000,8894351505256613439,179771
9000000000000000000,8944029223374571626,179771
9050000000000000000,8993706815291723304,179771
9100000000000000000,9043384280396724494,179771
9150000000000000000,9093061619301642798,179771
